,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,sup_type,sup_status,org_form,org_type,price_higher_pmp,price_too_low,price,pmp,okpd,type_prod,cntr_lvl,sign_date,exec_date,cntr_result
97,1594203,770,0.0,0,2,1733250.0,0,1.0,1.0,0,0,0.0,3,-1,13,2,0,0,4605838.42,4605838.42,562919000,19,1,20170502,20171231,1
98,1594221,653,0.0,0,6,1751139.0,0,1.0,0.0,0,0,0.0,3,-1,13,4,0,0,200000.0,200000.0,951110190,-1,1,20170502,20171220,1
99,1594429,1017,0.0,0,8,1382016.0,0,1.0,0.5,0,0,0.125,3,-1,13,2,0,0,5000000.0,5000000.0,532019120,19,1,20170503,20171231,1
100,1594430,1017,0.0,0,1,26000.0,0,1.0,1.0,0,0,0.0,3,-1,37,2,0,0,110000.0,110000.0,854199000,15,1,20170503,20171225,1
101,1594624,653,0.0,0,4,65972.0,0,1.0,0.0,0,0,0.0,1,-1,8,4,0,0,75600.0,124950.0,381129000,19,1,20170503,20171215,1
103,1594833,613,0.0,0,1,114303.0,0,1.0,0.0,0,0,0.0,3,-1,13,1,0,0,2187961.0,2205737.67,265112190,19,1,20170505,20190525,1
105,1595172,2236,0.0,0,7,3499513.0,0,1.0,0.28570999999999996,0,0,0.0,3,-1,49,5,0,0,2259230.4,2259230.4,869019140,21,1,20170510,20171225,1
106,1595174,2236,0.0,0,7,3499513.0,0,1.0,0.28570999999999996,0,0,0.14286,3,-1,49,5,0,0,401032.8,556990.0,869019140,21,1,20170510,20171226,1
107,1595200,225,0.0,0,2,9028.0,0,1.0,0.5,0,0,0.0,0,-1,48,1,0,0,44217.1,49541.8,651221000,14,1,20170511,20171231,1
108,1595551,2236,0.0,0,1,124241.0,0,1.0,0.0,0,0,0.0,3,1,13,5,0,0,1594034.5,1594034.5,204215149,19,1,20170515,20171125,1
109,1595551,2236,0.0,0,1,124241.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,0,1594034.5,1594034.5,212023199,20,1,20170515,20171125,1
111,1595777,360,0.00556,0,6,109215.0,0,1.0,0.0,0,0,0.16667,3,-1,13,2,0,1,113649.04,289600.0,802010000,19,1,20170516,20171231,1
114,1596330,360,0.00556,0,2,44705.0,0,1.0,0.0,0,0,0.0,3,-1,13,2,1,0,50054.4,45504.0,862110120,21,1,20170519,20171231,1
117,1597196,1017,0.0,0,6,194964.0,0,1.0,0.0,0,0,0.0,0,-1,13,2,0,0,10940.0,10940.0,611030190,19,1,20170529,20171231,1
119,1597500,2236,0.0,0,1,124241.0,0,1.0,0.0,0,0,0.0,3,1,13,5,0,0,6158717.85,6622277.27,221971190,19,1,20170529,20171125,1
120,1597500,2236,0.0,0,1,124241.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,0,6158717.85,6622277.27,325013110,3,1,20170529,20171125,1
121,1597500,2236,0.0,0,1,124241.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,0,6158717.85,6622277.27,325013190,3,1,20170529,20171125,1
125,1597948,2236,0.0,0,1,7632734.0,0,1.0,1.0,0,0,1.0,3,1,13,5,0,0,7726439.72,8219616.8,325013190,3,1,20170604,20171125,1
126,1597956,1017,0.0,0,31,1153602.0,0,1.0,0.22580999999999998,0,0,0.06452000000000001,0,-1,13,2,1,0,2700916.0,2700025.62,192021100,7,1,20170605,20171231,1
127,1598117,2236,0.0,0,1,14055124.0,0,1.0,1.0,0,0,0.0,3,1,82,5,0,0,3240913.88,3834267.0,172212130,19,1,20170605,20171125,1
129,1598142,333,0.0,0,9,179540.0,0,1.0,0.44443999999999995,0,0,0.22221999999999997,3,-1,13,2,0,0,81035.45,96509.0,531011000,19,1,20170606,20171231,1
130,1598649,1017,0.0,0,5,93952.0,0,1.0,0.0,0,0,0.0,0,-1,48,2,0,0,29000.0,29000.0,612020000,19,1,20170609,20171231,1
